序号,★古树名木编号,古树群编号,调查样方号,★古树名木类别,★省名称,★省编码,★市名称,★市编码,★县名称,★县编码,★乡镇（街道）,★乡镇（街道）编码,村（居委会）,村（居委会）编码,小地名,★树种-科,★树种-属,★树种-中文名,树种-学名,树种-俗名,★生长场所,★分布特点,★经度,★纬度,★权属,特征代码,★树龄,古树等级,★树龄测定方法,★树高（米）,★胸围（厘米）,★地围（厘米）,★平均冠幅（米）,★东西冠幅（米）,★南北冠幅（米）,海拔（米）,坡向,坡度,坡位,★土壤类型,★土层厚度,★土壤紧密度,★生长势,★生长环境,树体损伤,树体损伤具体描述,潜在损伤原因,潜在损伤原因其他描述,★新增古树名木原因,古树历史资料,★养护责任人类别,★养护责任人,★主管部门,树木奇特状况描述,树种鉴定记载,保护措施,养护复壮现状,照片说明,★照片数量,照片保存位置,死亡时间,死亡原因,处置措施,移植时间,移植原因,原地信息,移植方案,★调查人,★调查日期,审核人,审核日期,名木类别,名木栽植人,名木栽植日期,原挂牌号,档案年度,备注,省古树编号
1,5,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,喀纳斯湖,松科,松属,五针松,Pinus sibirica,,乡村,散生,87.02922667°,48.72148833°,国有,,146.34,,回归估测,21,155.744,191.54,5.9,5,6.8,1374.8,西坡,陡坡,中部,灰色森林土,40,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
2,6,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,喀纳斯湖,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.02897600°,48.72203350°,国有,,266.08,3,回归估测,28,257.48,361.1,5.15,5.3,5,1377,西坡,缓坡,下部,灰色森林土,75,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
3,7,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,喀纳斯湖,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.02899050°,48.72205583°,国有,,181.1,3,回归估测,28,188.4,235.5,5.55,5.4,5.7,1379.6,西坡,缓坡,下部,灰色森林土,75,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
4,8,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,喀纳斯湖,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.02842300°,48.72265783°,国有,,199.56,3,回归估测,16,200.96,339.12,5,4,6,1374.9,西坡,缓坡,下部,灰色森林土,75,中等,良好,良好,中部断裂,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
5,9,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,喀纳斯湖,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.02835167°,48.72272533°,国有,,258.69,3,回归估测,18,251.2,348.54,5.2,4.3,6.1,1372.1,西坡,缓坡,下部,灰色森林土,75,中等,良好,良好,中部断裂,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
6,10,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,喀纳斯湖,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.02821050°,48.72270183°,国有,,221.73,3,回归估测,25,219.8,219.8,5.5,5,6,1374.2,无坡向,平坡,平地,灰色森林土,30,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
7,11,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,喀纳斯湖,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.02823317°,48.72271583°,国有,,232.82,3,回归估测,17,229.22,229.22,5.5,6,5,1376.8,无坡向,平坡,平地,灰色森林土,30,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
8,12,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,喀纳斯湖,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.02812917°,48.72276783°,国有,,214.34,3,回归估测,15,213.52,213.52,6,6,6,1373.4,无坡向,平坡,平地,灰色森林土,30,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
9,13,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,喀纳斯湖,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.02814900°,48.72275583°,国有,,191.7,3,回归估测,15,194.68,194.68,5.5,6,5,1375.1,无坡向,平坡,平地,灰色森林土,30,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
10,14,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,喀纳斯湖,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.02436733°,48.70960233°,国有,,258.69,3,回归估测,14,251.2,251.2,5.5,6,5,1436.8,无坡向,平坡,平地,灰色森林土,30,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
11,15,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,喀纳斯湖,松科,云杉属,西伯利亚云杉,Picea obovata,,乡村,散生,87.02435583°,48.70999567°,国有,,110.78,3,回归估测,14,219.8,266.9,5.6,5.6,5.6,1396.6,无坡向,平坡,平地,灰色森林土,34,紧密,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
12,16,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,喀纳斯湖,松科,云杉属,西伯利亚云杉,Picea obovata,,乡村,散生,87.02350200°,48.71004300°,国有,,115.97,3,回归估测,18,229.22,298.3,8.25,9,7.5,1395.3,无坡向,平坡,平地,灰色森林土,46,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
13,17,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,喀纳斯湖,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.02310567°,48.71021800°,国有,,240.21,3,回归估测,16,235.5,376.8,7.25,7.8,6.7,1394.1,无坡向,平坡,平地,灰色森林土,34,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
14,18,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,喀纳斯湖,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.02302383°,48.71044367°,国有,,221.73,3,回归估测,17,219.8,345.4,3.25,3.2,3.3,1391.5,无坡向,平坡,平地,灰色森林土,34,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
15,19,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,喀纳斯湖,松科,松属,五针松,Pinus sibirica,,乡村,散生,87.02879533°,48.72001967°,国有,,173.69,3,回归估测,17,178.98,219.8,4.45,4.5,4.4,1368.7,无坡向,平坡,平地,灰色森林土,18,紧密,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
16,20,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,喀纳斯湖,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.02892950°,48.72034383°,国有,,280.86,3,回归估测,20,270.04,376.8,3,3,3,1372.8,无坡向,平坡,平地,灰色森林土,30,紧密,衰弱,良好,虫害,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
17,21,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,喀纳斯湖,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.02866483°,48.72109933°,国有,,203.25,3,回归估测,20,204.1,282.6,3,3,3,1377.4,无坡向,平坡,平地,灰色森林土,30,紧密,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
18,22,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,喀纳斯湖,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.02780983°,48.72292850°,国有,,214.34,3,回归估测,18,213.52,298.3,4,4,4,1376.6,无坡向,平坡,平地,灰色森林土,30,紧密,良好,良好,中部断裂,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
19,23,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,喀纳斯湖,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.02774617°,48.72295867°,国有,,443.47,3,回归估测,16,408.2,486.7,4,5,3,1375.4,无坡向,平坡,平地,灰色森林土,30,紧密,良好,良好,中部断裂,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
20,24,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,喀纳斯湖,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.02790417°,48.72295700°,国有,,258.69,3,回归估测,19,251.2,282.6,4.5,4,5,1374.6,无坡向,平坡,平地,灰色森林土,30,紧密,良好,良好,中部断裂,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
21,25,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,喀纳斯湖,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.02780867°,48.72287967°,国有,,295.64,3,回归估测,16,282.6,361.1,3.5,4,3,1376,无坡向,平坡,平地,灰色森林土,30,中等,良好,良好,中部断裂,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
22,26,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,喀纳斯湖,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.02746783°,48.72352867°,国有,,535.85,3,回归估测,26,486.7,596.6,5,6,4,1374.4,无坡向,平坡,平地,灰色森林土,59,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
23,27,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,喀纳斯湖,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.02744383°,48.72347883°,国有,,240.21,3,回归估测,18,235.5,314,4,3,5,1376.8,无坡向,平坡,平地,灰色森林土,59,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
24,28,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,喀纳斯湖,松科,云杉属,西伯利亚云杉,Picea obovata,,乡村,散生,87.02753967°,48.72342617°,国有,,105.58,3,回归估测,21,210.38,251.2,5.5,5,6,1380.1,无坡向,平坡,平地,灰色森林土,59,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
25,29,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,喀纳斯湖,松科,云杉属,西伯利亚云杉,Picea obovata,,乡村,散生,87.02745317°,48.72335917°,国有,,124.62,3,回归估测,22,244.92,251.2,7,7,7,1376.5,无坡向,平坡,平地,灰色森林土,59,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
26,30,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,喀纳斯湖,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.02740100°,48.72338183°,国有,,351.08,3,回归估测,23,329.7,408.2,4.75,4.5,5,1373.6,无坡向,平坡,平地,灰色森林土,59,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
27,31,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,喀纳斯湖,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.02743783°,48.72316600°,国有,,388.03,3,回归估测,15,361.1,449.02,3.5,3,4,1374.3,无坡向,平坡,平地,灰色森林土,59,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
28,32,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,喀纳斯湖,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.02745850°,48.72313917°,国有,,351.08,3,回归估测,17,329.7,401.92,3.5,4,3,1376.2,无坡向,平坡,平地,灰色森林土,59,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
29,33,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,喀纳斯湖,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.02851550°,48.72340517°,国有,,388.03,3,回归估测,20,361.1,401.92,4.5,4,5,1382.7,西南,缓坡,低部,灰色森林土,30,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
30,34,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,喀纳斯湖,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.02878617°,48.72338333°,国有,,406.51,3,回归估测,18,376.8,439.6,4.5,5,4,1382.3,西南,缓坡,低部,灰色森林土,30,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
31,35,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,喀纳斯湖,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.02869467°,48.72344750°,国有,,314.12,3,回归估测,20,298.3,367.38,4.5,5,4,1381.2,西南,缓坡,低部,灰色森林土,30,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
32,36,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,喀纳斯湖,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.02828233°,48.72336400°,国有,,258.69,3,回归估测,12,251.2,323.42,3.5,4,3,1378.9,西南,缓坡,低部,灰色森林土,30,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
33,37,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,喀纳斯湖,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.02817717°,48.72322300°,国有,,314.12,3,回归估测,15,298.3,345.4,5,5,5,1375.6,西南,缓坡,低部,灰色森林土,30,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
34,38,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,喀纳斯湖,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.02790483°,48.72327750°,国有,,369.55,3,回归估测,19,345.4,392.5,5.5,5,6,1376.9,西南,缓坡,低部,灰色森林土,30,中等,良好,良好,中部断裂,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
35,39,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,喀纳斯湖,松科,松属,五针松,Pinus sibirica,,乡村,散生,87.02193850°,48.70948417°,国有,,195.86,3,回归估测,18,197.82,219.8,5.5,5,6,1374.7,无坡向,平坡,平地,灰色森林土,30,中等,良好,差,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
36,40,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,喀纳斯湖,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.02206100°,48.70889483°,国有,,221.73,3,回归估测,20,219.8,257.48,6,5,7,1377.5,西坡,缓坡,低部,灰色森林土,30,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
37,41,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,喀纳斯湖,松科,云杉属,西伯利亚云杉,Picea obovata,,乡村,散生,87.02250283°,48.70806483°,国有,,105.58,3,回归估测,20,210.38,266.9,5,5,5,1372.2,西南,缓坡,低部,灰色森林土,30,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
38,42,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,喀纳斯湖,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.02263000°,48.70788417°,国有,,240.21,3,回归估测,18,235.5,251.2,3,3,3,1377.3,无坡向,平坡,平地,灰色森林土,30,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
39,43,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,喀纳斯湖,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.02263500°,48.70781733°,国有,,269.77,3,回归估测,18,260.62,361.1,4,4,4,1375.5,无坡向,平坡,平地,灰色森林土,30,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
40,45,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,喀纳斯湖,松科,云杉属,西伯利亚云杉,Picea obovata,,乡村,散生,87.02697917°,48.71017533°,国有,,145.4,3,回归估测,18,282.6,345.4,9.5,9,10,1392.9,无坡向,平坡,平地,灰色森林土,30,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
41,46,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,喀纳斯湖,松科,云杉属,西伯利亚云杉,Picea obovata,,乡村,散生,87.02653483°,48.71039933°,国有,,128.09,3,回归估测,20,251.2,229.22,6.5,7,6,1391,无坡向,平坡,平地,灰色森林土,30,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
42,47,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,喀纳斯湖,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.02632083°,48.71029400°,国有,,269.77,3,回归估测,18,260.62,361.1,6,6,6,1392.2,无坡向,平坡,平地,灰色森林土,30,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
43,48,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,喀纳斯湖,松科,云杉属,西伯利亚云杉,Picea obovata,,乡村,散生,87.02600350°,48.71022683°,国有,,115.97,3,回归估测,16,229.22,251.2,6.5,7,6,1394.5,无坡向,平坡,平地,灰色森林土,30,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
44,49,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,喀纳斯湖,松科,云杉属,西伯利亚云杉,Picea obovata,,乡村,散生,87.02579967°,48.71030917°,国有,,119.43,3,回归估测,20,235.5,329.7,6,5,7,1397.6,无坡向,平坡,平地,灰色森林土,30,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
45,50,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,喀纳斯湖,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.02590850°,48.71023800°,国有,,277.17,3,回归估测,20,266.9,329.7,7,6.5,7.5,1403.7,无坡向,平坡,平地,灰色森林土,30,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
46,51,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,喀纳斯湖,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.02630283°,48.71051200°,国有,,210.65,3,回归估测,19,210.38,298.3,6,7,5,1387.6,无坡向,平坡,平地,灰色森林土,25,紧密,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
47,52,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,喀纳斯湖,松科,云杉属,西伯利亚云杉,Picea obovata,,乡村,散生,87.02716017°,48.71261167°,国有,,100,3,回归估测,20,194.68,235.5,11,12,10,1392.5,无坡向,平坡,平地,灰色森林土,25,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
48,53,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,喀纳斯湖,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.02626717°,48.71375533°,国有,,251.3,3,回归估测,20,244.92,292.02,4.5,4,5,1392.7,西坡,缓坡,中部,灰色森林土,28,中等,良好,良好,树皮损伤,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
